rectCenterX,rectCenterY,rectWidth,rectHeight
0.307425,-0.282217,0.179583,0.141824
0.307425,-0.424041,0.179583,0.141824
0.487009,-0.282217,0.179583,0.141824
0.487009,-0.424041,0.179583,0.141824
0.397217,-0.636777,0.359166,0.283648
0.217634,-1.06225,0.718332,0.567295
0.935966,-0.494953,0.718332,0.567295
0.756383,-0.353129,0.359166,0.283648
0.756383,-0.636777,0.359166,0.283648
1.11555,-0.353129,0.359166,0.283648
1.11555,-0.636777,0.359166,0.283648
0.935966,-1.06225,0.718332,0.567295
0.5768,-1.91319,1.43666,1.13459
0.217634,-1.62954,0.718332,0.567295
0.217634,-2.19684,0.718332,0.567295
0.935966,-1.62954,0.718332,0.567295
0.935966,-2.19684,0.718332,0.567295
2.01346,-0.778601,1.43666,1.13459
1.6543,-0.494953,0.718332,0.567295
1.6543,-1.06225,0.718332,0.567295
2.37263,-0.494953,0.718332,0.567295
2.37263,-1.06225,0.718332,0.567295
2.01346,-1.91319,1.43666,1.13459
