rectCenterX,rectCenterY,rectWidth,rectHeight
0.43521,0.310386,0.122366,0.121607
0.374026,0.127976,0.244733,0.243213
0.312843,0.188779,0.122366,0.121607
0.282252,0.219181,0.0611832,0.0608033
0.282252,0.158378,0.0611832,0.0608033
0.343435,0.219181,0.0611832,0.0608033
0.343435,0.158378,0.0611832,0.0608033
0.312843,0.0671728,0.122366,0.121607
0.43521,0.188779,0.122366,0.121607
0.404618,0.219181,0.0611832,0.0608033
0.404618,0.158378,0.0611832,0.0608033
0.389322,0.173579,0.0305916,0.0304016
0.389322,0.143177,0.0305916,0.0304016
0.419914,0.173579,0.0305916,0.0304016
0.419914,0.143177,0.0305916,0.0304016
0.465801,0.219181,0.0611832,0.0608033
0.465801,0.158378,0.0611832,0.0608033
0.43521,0.0671728,0.122366,0.121607
0.404618,0.0975745,0.0611832,0.0608033
0.404618,0.0367712,0.0611832,0.0608033
0.465801,0.0975745,0.0611832,0.0608033
0.465801,0.0367712,0.0611832,0.0608033
0.741126,0.736009,0.489466,0.486426
0.618759,0.857615,0.244733,0.243213
0.557576,0.918419,0.122366,0.121607
0.557576,0.796812,0.122366,0.121607
0.526984,0.827214,0.0611832,0.0608033
0.526984,0.76641,0.0611832,0.0608032
0.588168,0.827214,0.0611832,0.0608033
0.572872,0.842414,0.0305916,0.0304016
0.572872,0.812013,0.0305916,0.0304016
0.603463,0.842414,0.0305916,0.0304016
0.603463,0.812013,0.0305916,0.0304016
0.588168,0.76641,0.0611832,0.0608032
0.679942,0.918419,0.122366,0.121607
0.679942,0.796812,0.122366,0.121607
0.618759,0.614402,0.244733,0.243213
0.557576,0.675205,0.122366,0.121607
0.557576,0.553599,0.122366,0.121606
0.526984,0.584001,0.0611832,0.0608032
0.526984,0.523197,0.0611832,0.0608033
0.588168,0.584001,0.0611832,0.0608032
0.588168,0.523197,0.0611832,0.0608033
0.679942,0.675205,0.122366,0.121607
0.679942,0.553599,0.122366,0.121606
0.863492,0.857615,0.244733,0.243213
0.802309,0.918419,0.122366,0.121607
0.802309,0.796812,0.122366,0.121607
0.924675,0.918419,0.122366,0.121607
0.924675,0.796812,0.122366,0.121607
