rectCenterX,rectCenterY,rectWidth,rectHeight
0.00153118,0.663218,0.104858,0.0974764
0.00153118,0.565742,0.104858,0.0974764
0.106389,0.663218,0.104858,0.0974764
0.106389,0.565742,0.104858,0.0974764
0.0539602,0.419527,0.209716,0.194953
-0.0508978,0.127098,0.419432,0.389905
-0.155756,0.224575,0.209716,0.194953
-0.208185,0.273313,0.104858,0.0974764
-0.208185,0.175836,0.104858,0.0974764
-0.103327,0.273313,0.104858,0.0974764
-0.103327,0.175836,0.104858,0.0974764
-0.129541,0.200206,0.052429,0.0487382
-0.129541,0.151467,0.052429,0.0487382
-0.0771123,0.200206,0.052429,0.0487382
-0.0771123,0.151467,0.052429,0.0487382
-0.155756,0.0296218,0.209716,0.194953
-0.208185,0.07836,0.104858,0.0974764
-0.208185,-0.0191163,0.104858,0.0974764
-0.103327,0.07836,0.104858,0.0974764
-0.103327,-0.0191163,0.104858,0.0974764
0.0539602,0.224575,0.209716,0.194953
0.00153118,0.273313,0.104858,0.0974764
0.00153118,0.175836,0.104858,0.0974764
0.106389,0.273313,0.104858,0.0974764
0.106389,0.175836,0.104858,0.0974764
0.0801747,0.200206,0.052429,0.0487382
0.0801747,0.151467,0.052429,0.0487382
0.132604,0.200206,0.052429,0.0487382
0.132604,0.151467,0.052429,0.0487382
0.0539602,0.0296218,0.209716,0.194953
0.00153118,0.07836,0.104858,0.0974764
0.00153118,-0.0191163,0.104858,0.0974764
0.106389,0.07836,0.104858,0.0974764
0.106389,-0.0191163,0.104858,0.0974764
-1.51891,-1.62748,3.35546,3.11924
-2.35777,-0.847665,1.67773,1.55962
-2.77721,-0.45776,0.838864,0.779811
-2.77721,-1.23757,0.838864,0.779811
-1.93834,-0.45776,0.838864,0.779811
-2.14806,-0.262807,0.419432,0.389905
-2.25292,-0.165331,0.209716,0.194953
-2.25292,-0.360284,0.209716,0.194953
-2.0432,-0.165331,0.209716,0.194953
-2.0432,-0.360284,0.209716,0.194953
-2.14806,-0.652713,0.419432,0.389905
-1.72863,-0.262807,0.419432,0.389905
-1.72863,-0.652713,0.419432,0.389905
-1.83348,-0.555236,0.209716,0.194953
-1.83348,-0.750189,0.209716,0.194953
-1.62377,-0.555236,0.209716,0.194953
-1.6762,-0.506498,0.104858,0.0974764
-1.6762,-0.603975,0.104858,0.0974764
-1.57134,-0.506498,0.104858,0.0974764
-1.57134,-0.603975,0.104858,0.0974764
-1.62377,-0.750189,0.209716,0.194953
-1.93834,-1.23757,0.838864,0.779811
-2.14806,-1.04262,0.419432,0.389906
-2.14806,-1.43252,0.419432,0.389905
-1.72863,-1.04262,0.419432,0.389906
-1.83348,-0.945142,0.209716,0.194953
-1.83348,-1.14009,0.209716,0.194953
-1.62377,-0.945142,0.209716,0.194953
-1.62377,-1.14009,0.209716,0.194953
-1.72863,-1.43252,0.419432,0.389905
-2.35777,-2.40729,1.67773,1.55962
-0.680046,-0.847665,1.67773,1.55962
-1.09948,-0.45776,0.838864,0.779811
-1.30919,-0.262807,0.419432,0.389905
-1.41405,-0.165331,0.209716,0.194953
-1.41405,-0.360284,0.209716,0.194953
-1.46648,-0.311545,0.104858,0.0974764
-1.46648,-0.409022,0.104858,0.0974764
-1.36162,-0.311545,0.104858,0.0974764
-1.36162,-0.409022,0.104858,0.0974764
-1.20434,-0.165331,0.209716,0.194953
-1.25677,-0.116593,0.104858,0.0974764
-1.25677,-0.214069,0.104858,0.0974764
-1.15191,-0.116593,0.104858,0.0974764
-1.15191,-0.214069,0.104858,0.0974764
-1.20434,-0.360284,0.209716,0.194953
-1.25677,-0.311545,0.104858,0.0974764
-1.25677,-0.409022,0.104858,0.0974764
-1.15191,-0.311545,0.104858,0.0974764
-1.15191,-0.409022,0.104858,0.0974764
-1.30919,-0.652713,0.419432,0.389905
-1.41405,-0.555236,0.209716,0.194953
-1.41405,-0.750189,0.209716,0.194953
-1.20434,-0.555236,0.209716,0.194953
-1.20434,-0.750189,0.209716,0.194953
-0.889762,-0.262807,0.419432,0.389905
-0.99462,-0.165331,0.209716,0.194953
-0.99462,-0.360284,0.209716,0.194953
-1.04705,-0.311545,0.104858,0.0974764
-1.04705,-0.409022,0.104858,0.0974764
-0.942191,-0.311545,0.104858,0.0974764
-0.942191,-0.409022,0.104858,0.0974764
-0.784904,-0.165331,0.209716,0.194953
-0.837333,-0.116593,0.104858,0.0974764
-0.837333,-0.214069,0.104858,0.0974764
-0.732475,-0.116593,0.104858,0.0974764
-0.732475,-0.214069,0.104858,0.0974764
-0.75869,-0.1897,0.052429,0.0487382
-0.75869,-0.238438,0.052429,0.0487382
-0.706261,-0.1897,0.052429,0.0487382
-0.706261,-0.238438,0.052429,0.0487382
-0.784904,-0.360284,0.209716,0.194953
-0.837333,-0.311545,0.104858,0.0974764
-0.863548,-0.287176,0.052429,0.0487382
-0.863548,-0.335915,0.052429,0.0487382
-0.876655,-0.32373,0.0262145,0.0243691
-0.876655,-0.348099,0.0262145,0.0243691
-0.85044,-0.32373,0.0262145,0.0243691
-0.85044,-0.348099,0.0262145,0.0243691
-0.811119,-0.287176,0.052429,0.0487382
-0.811119,-0.335915,0.052429,0.0487382
-0.837333,-0.409022,0.104858,0.0974764
-0.732475,-0.311545,0.104858,0.0974764
-0.732475,-0.409022,0.104858,0.0974764
-0.889762,-0.652713,0.419432,0.389905
-0.99462,-0.555236,0.209716,0.194953
-0.99462,-0.750189,0.209716,0.194953
-0.784904,-0.555236,0.209716,0.194953
-0.837333,-0.506498,0.104858,0.0974764
-0.837333,-0.603975,0.104858,0.0974764
-0.732475,-0.506498,0.104858,0.0974764
-0.732475,-0.603975,0.104858,0.0974764
-0.784904,-0.750189,0.209716,0.194953
-1.09948,-1.23757,0.838864,0.779811
-1.30919,-1.04262,0.419432,0.389906
-1.41405,-0.945142,0.209716,0.194953
-1.41405,-1.14009,0.209716,0.194953
-1.20434,-0.945142,0.209716,0.194953
-1.25677,-0.896404,0.104858,0.0974764
-1.25677,-0.99388,0.104858,0.0974764
-1.15191,-0.896404,0.104858,0.0974764
-1.15191,-0.99388,0.104858,0.0974764
-1.20434,-1.14009,0.209716,0.194953
-1.30919,-1.43252,0.419432,0.389905
-1.41405,-1.33505,0.209716,0.194953
-1.41405,-1.53,0.209716,0.194953
-1.20434,-1.33505,0.209716,0.194953
-1.20434,-1.53,0.209716,0.194953
-0.889762,-1.04262,0.419432,0.389906
-0.99462,-0.945142,0.209716,0.194953
-0.99462,-1.14009,0.209716,0.194953
-0.784904,-0.945142,0.209716,0.194953
-0.784904,-1.14009,0.209716,0.194953
-0.889762,-1.43252,0.419432,0.389905
-0.99462,-1.33505,0.209716,0.194953
-1.04705,-1.28631,0.104858,0.0974764
-1.04705,-1.38379,0.104858,0.0974764
-0.942191,-1.28631,0.104858,0.0974764
